station_name,line_id,month,total_passengers
Road El Farag,Line2,11,58835
Adly Mansour,Line3,11,58708
Dokki,Line2,11,58501
Sadat,Transfer_Line1/Line2,11,57999
Sayeda Zeinab,Line1,11,57962
Al Shohadaa,Transfer_Line1/Line2,11,57801
El Nozha,Line3,11,57552
Cairo University,Line2,11,57275
Ghamra,Line1,11,56907
Opera,Line2,11,56845
El Mounib,Line2,11,56837
Kit Kat,Line3,11,56783
Bab El Shaaria,Line3,11,55655
Attaba,Transfer_Line2/Line3,11,54562
El Demerdash,Line1,11,54430
Sakanat El Maadi,Line1,11,6037
El Matareyya,Line1,11,5862
Omar Ibn El Khattab,Line3,11,5804
Hesham Barakat,Line3,11,5658
Alf Maskan,Line3,11,5578
Hadayek El Maadi,Line1,11,5543
Fair Zone,Line3,11,5423
Masarra,Line2,11,5412
Kobri El Qobba,Line1,11,5366
Al Ahram,Line3,11,5355
Ring Road,Line3,11,5323
El Qawmia,Line3,11,5260
El Bohy,Line3,11,5253
Safaa Hegazy,Line3,11,5229
Sakiat Mekky,Line2,11,5207
Tura El Asmant,Line1,11,5110
Sudan,Line3,11,5063
Helmeyet El Zaitoun,Line1,11,5056
Koliet El Zeraa,Line2,11,5031
Mohamed Naguib,Line2,11,5025
Nadi El Shams,Line3,11,4982
Mar Girgis,Line1,11,4956
El Bohoos,Line2,11,4947
Koleyet El Banat,Line3,11,4900
Khalafawy,Line2,11,4864
Omm El Masryeen,Line2,11,4856
Dar El Salam,Line1,11,4854
Ezbet El Nakhl,Line1,11,4815
El Zahra,Line1,11,4787
New El Marg,Line1,11,4758
St. Teresa,Line2,11,4745
Orabi,Line1,11,4736
El Geish,Line3,11,4673
Haroun,Line3,11,4640
Hammamat El Qobba,Line1,11,4630
Ain Helwan,Line1,11,4619
Saray El Qobba,Line1,11,4612
Manshiet El Sadr,Line1,11,4600
Mezallat,Line2,11,4580
Wadi Hof,Line1,11,4552
Kozzika,Line1,11,4501
Hadayek El Zaitoun,Line1,11,4500
El Marg,Line1,11,4405
Rod El Farag Corridor,Line3,11,4349
Qobaa,Line3,11,4348
Tura El Balad,Line1,11,4186
El Haykestep,Line3,11,4181
Hadayek Helwan,Line1,11,3987
El Maasara,Line1,11,3977
Abdou Pasha,Line3,11,3933
Helwan,Line1,11,3624
Dokki,Line2,12,66404
Abbassia,Line3,12,65477
Opera,Line2,12,65288
El Malek El Saleh,Line1,12,64766
Road El Farag,Line2,12,64304
Kit Kat,Line3,12,63741
Bab El Shaaria,Line3,12,63582
Adly Mansour,Line3,12,63354
Giza,Line2,12,63204
Sadat,Transfer_Line1/Line2,12,63179
Heliopolis Square,Line3,12,62701
El Maadi,Line1,12,62564
Ain Shams,Line1,12,62558
Ghamra,Line1,12,62301
Stadium,Line3,12,62294
Saad Zaghloul,Line1,12,62072
Shubra El Kheima,Line2,12,61943
Cairo University,Line2,12,61850
Sayeda Zeinab,Line1,12,61435
El Mounib,Line2,12,61234
Nasser,Transfer_Line1/Line3,12,61169
Attaba,Transfer_Line2/Line3,12,61164
Al Shohadaa,Transfer_Line1/Line2,12,61139
Helwan University,Line1,12,61097
Faisal,Line2,12,60582
Maspero,Line3,12,60492
El Demerdash,Line1,12,60488
Imbaba,Line3,12,60291
El Nozha,Line3,12,56633
Helwan,Line1,12,6508
Ezbet El Nakhl,Line1,12,6285
Manshiet El Sadr,Line1,12,6266
El Qawmia,Line3,12,6118
Hadayek El Zaitoun,Line1,12,6109
El Bohy,Line3,12,5875
Sudan,Line3,12,5869
El Geish,Line3,12,5818
Masarra,Line2,12,5773
Mohamed Naguib,Line2,12,5757
Orabi,Line1,12,5756
Kobri El Qobba,Line1,12,5731
El Marg,Line1,12,5682
Nadi El Shams,Line3,12,5682
Hadayek Helwan,Line1,12,5633
Omm El Masryeen,Line2,12,5591
Abdou Pasha,Line3,12,5536
Haroun,Line3,12,5507
Sakiat Mekky,Line2,12,5480
Fair Zone,Line3,12,5467
El Matareyya,Line1,12,5465
Qobaa,Line3,12,5462
Wadi Hof,Line1,12,5456
Kozzika,Line1,12,5453
Hammamat El Qobba,Line1,12,5440
Tura El Asmant,Line1,12,5380
Dar El Salam,Line1,12,5365
Helmeyet El Zaitoun,Line1,12,5343
Koleyet El Banat,Line3,12,5341
Saray El Qobba,Line1,12,5230
Ain Helwan,Line1,12,5069
Koliet El Zeraa,Line2,12,5053
Mezallat,Line2,12,5051
Alf Maskan,Line3,12,5021
Tura El Balad,Line1,12,5007
El Zahra,Line1,12,4988
El Maasara,Line1,12,4921
Al Ahram,Line3,12,4911
New El Marg,Line1,12,4790
Safaa Hegazy,Line3,12,4779
St. Teresa,Line2,12,4724
Khalafawy,Line2,12,4711
Rod El Farag Corridor,Line3,12,4621
Hadayek El Maadi,Line1,12,4558
Sakanat El Maadi,Line1,12,4551
El Bohoos,Line2,12,4493
El Haykestep,Line3,12,4457
Ring Road,Line3,12,4412
Hesham Barakat,Line3,12,4343
Omar Ibn El Khattab,Line3,12,4307
Mar Girgis,Line1,12,4295
